time_s,centered_signal,filtered_signal,is_peak
0.0,0.7957287156810982,0.013343039761699142,0
0.02,0.8097030746554571,0.010180649874483715,0
0.04,0.8226662156810981,0.007021954617068962,0
0.06,0.8164162156810981,0.003870414697740937,0
0.08,0.81229689749928,0.0007293619971310145,0
0.1,0.8145696247720072,-0.0023979989486937955,0
0.12,0.8159666189069045,-0.00550858930299028,0
0.14,0.8007246834230336,-0.008599454330824388,0
0.16,0.7854827479391627,-0.011667762019271624,0
0.18,0.7702408124552919,-0.014710802042116423,0
0.2,0.7589072871096696,-0.017725985152670334,0
0.22,0.7637032054770166,-0.02071084304964229,0
0.24,0.7684991238443636,-0.023663028729851092,0
0.26,0.7461683708535121,-0.026580317317524776,0
0.28,0.733772833328157,-0.029460607339780745,0
0.3,0.7372042058771766,-0.032301922399078635,0
0.32,0.7406355784261961,-0.03510241317658162,0
0.34,0.7281634982897938,-0.03786035968738633,0
0.36,0.7139243678550112,-0.04057417369935137,0
0.38,0.7096803285843241,-0.043242401219945784,0
0.4,0.7125800670324495,-0.0458637249498608,0
0.42,0.7246070940594765,-0.04843696659968452,0
0.44,0.7290708209442561,-0.05096108896700764,0
0.46,0.7032813472600455,-0.053435197672931097,0
0.48,0.6844210233734058,-0.05585854245524007,0
0.5,0.6817287156810982,-0.05823051791019715,0
0.52,0.6790364079887905,-0.060550663570645785,0
0.54,0.6651551862693336,-0.06281866321069574,0
0.56,0.6464787156810983,-0.06503434327889929,0
0.58,0.6564787156810982,-0.06719767038127072,0
0.6,0.6670445051547824,-0.0693087477613495,0
0.62,0.6827023998916245,-0.07136781075563596,0
0.64,0.6922827697351522,-0.07337522123554263,0
0.66,0.6775530400054226,-0.07533146107497912,0
0.68,0.6656572871096698,-0.07723712470015158,0
0.7000000000000001,0.6590246340484452,-0.07909291078442955,0
0.72,0.6523919809872207,-0.08089961315090549,0
0.74,0.6527475836056265,-0.08265811094498791,0
0.76,0.6538796590773246,-0.08436935814295683,0
0.78,0.6644682990144315,-0.08603437246985599,0
0.8,0.6996062667015064,-0.08765422380859113,0
0.8200000000000001,0.6621572871096696,-0.0892300221872719,0
0.84,0.6247083075178329,-0.0907629054290834,0
0.86,0.6213757745046276,-0.09225402653722829,0
0.88,0.6407875392105099,-0.09370454087281833,0
0.9,0.657578715681098,-0.09511559317559472,0
0.92,0.6317848381300778,-0.09648830447949183,0
0.9400000000000001,0.6228052462933431,-0.09782375898147276,0
0.96,0.6138256544566084,-0.09912299092561695,0
0.98,0.6139569765506635,-0.10038697156486866,0
1.0,0.6156961069854461,-0.10161659626512277,0
1.02,0.6266325618349445,-0.10281267182368119,0
1.04,0.6359735073477648,-0.10397590408498592,0
1.06,0.6179526740144315,-0.105106885946472,0
1.08,0.5999318406810982,-0.10620608585237587,0
1.1,0.6180390605086844,-0.1072738368726053,0
1.12,0.6320310412624934,-0.10831032646033623,0
1.1400000000000001,0.6302868552159819,-0.10931558697902671,0
1.16,0.627247946450329,-0.11028948708593382,0
1.18,0.620324869527252,-0.11123172405064223,0
1.2,0.6133487156810982,-0.11214181707133496,0
1.22,0.6062487156810982,-0.1130191016308849,0
1.24,0.5991487156810982,-0.1138627249136836,0
1.26,0.5867953823477648,-0.1146716422859028,0
1.28,0.5789202050428004,-0.11544461482854876,0
1.3,0.5845585029151408,-0.11618020790535201,0
1.32,0.5901968007874813,-0.11687679074673202,0
1.34,0.5841116944045025,-0.11753253703582356,0
1.36,0.577409566744928,-0.11814542649003919,0
1.3800000000000001,0.5801080260259258,-0.11871324743885565,0
1.4000000000000001,0.5871325618349443,-0.11923360040440403,0
1.42,0.5831582028605854,-0.11970390269664381,0
1.44,0.5783174253585176,-0.12012139403950564,0
1.46,0.5700109737456144,-0.12048314324743659,0
1.48,0.5617045221327113,-0.12078605597307243,0
1.5,0.5625858585382412,-0.12102688354802753,0
1.52,0.6070620490144316,-0.12120223294234381,0
1.54,0.592895382347765,-0.12130857787401407,0
1.56,0.5787287156810982,-0.12134227110423229,0
1.58,0.5675640815347568,-0.12129955795117987,0
1.6,0.557686032754269,-0.12117659104415993,0
1.62,0.5585271027778725,-0.12096944632622691,0
1.6400000000000001,0.5654787156810983,-0.12067414030423579,0
1.6600000000000001,0.5754787156810983,-0.12028664854324356,0
1.68,0.5854787156810982,-0.11980292540493877,0
1.7,0.5975620490144316,-0.11921892503205073,0
1.72,0.6024151563590644,-0.11853062357734975,0
1.74,0.5953812580539796,-0.11773404266347154,0
1.76,0.5883473597488948,-0.11682527403754604,0
1.78,0.5717575618349442,-0.11580050535462094,0
1.8,0.5504051862693335,-0.11465604699100952,0
1.82,0.5682483235242355,-0.11338835975924155,0
1.84,0.5860914607791374,-0.1119940833755383,0
1.86,0.5895014429538254,-0.11047006551993416,0
1.8800000000000001,0.5832893217417042,-0.10881339132402229,0
1.9000000000000001,0.5961896531810983,-0.10702141311485479,0
1.92,0.6052623695272521,-0.1050917802316248,0
1.94,0.6053585233734059,-0.1030224687146401,0
1.96,0.6054546772195597,-0.10081181064520249,0
1.98,0.5925351672940015,-0.09845852289083604,0
2.0,0.5773808895941418,-0.0959617349840068,0
2.02,0.5706417591593591,-0.09332101583759674,0
2.04,0.5639026287245764,-0.09053639898219615,0
2.06,0.57105480263762,-0.08760840600339422,0
2.08,0.5797504548115331,-0.08453806786346241,0
2.1,0.5840724656810983,-0.08132694380928407,0
2.12,0.5854787156810983,-0.07797713759267591,0
2.14,0.5888878065901891,-0.07449131075578276,0
2.16,0.59229689749928,-0.07087269276036466,0
2.18,0.5855171772195598,-0.06712508776528012,0
2.2,0.5761902541426367,-0.06325287788239123,0
2.22,0.5754243678550114,-0.059261022769185635,0
2.24,0.6075187156810984,-0.05515505544883078,0
2.2600000000000002,0.6133187156810983,-0.050941074286534355,0
2.2800000000000002,0.6191187156810982,-0.046625731093016855,0
2.3000000000000003,0.6162287156810982,-0.04221621536626793,0
2.32,0.6108224656810982,-0.03772023471699478,0
2.34,0.6139474656810981,-0.03314599155137899,0
2.36,0.6170724656810982,-0.028502156110894683,0
2.38,0.6205932990144316,-0.023797835996964306,0
2.4,0.6241349656810983,-0.01904254233955595,0
2.42,0.6247465728239554,-0.014246152802558906,0
2.44,0.6256343760584568,-0.009418871653398019,0
2.46,0.6416721119075134,-0.004571187158995703,0
2.48,0.6577098477565698,0.00028617339552964444,0
2.5,0.6661133310657136,0.005142290736327507,0
2.52,0.6687531059250006,0.00998610232100601,0
2.54,0.6788750571445128,0.014806452371367698,0
2.56,0.6893537156810982,0.0195921428287167,0
2.58,0.6968030400054225,0.024331984838073258,0
2.6,0.7015327697351523,0.029014850370799435,0
2.62,0.6955157527181351,0.033629723604752235,0
2.64,0.6897588880948913,0.03816575169663065,0
2.66,0.6876037156810981,0.04261229460059837,0
2.68,0.685448543267305,0.046958973606916296,0
2.7,0.7023027897551724,0.05119571829066169,0
2.72,0.7286605338629164,0.05531281157230039,0
2.74,0.7308196247720072,0.059300932601088346,0
2.7600000000000002,0.7329787156810981,0.063151197184223,0
2.7800000000000002,0.7309959570604084,0.06685519550461894,0
2.8000000000000003,0.7290131984397188,0.07040502689966673,0
2.82,0.7281572871096695,0.07379333150925435,0
2.84,0.7319468974992801,0.0770133186388479,0
2.86,0.7274923520447346,0.08005879171911488,0
2.88,0.7230378065901891,0.0829241697761649,0
2.9,0.7273953823477648,0.08560450535584642,0
