time_s,acc_x_centered_resampled,acc_y_centered_resampled,acc_z_centered_resampled,acc_x_filtered,acc_y_filtered,acc_z_filtered
0.0,-17.53889930015555,33.77193532918611,-41.49944790046658,-7.569124255921664,7.9070389316782235,-14.456214414518909
0.02,-21.332698440989112,33.823097990279805,-42.40893785750826,-7.901449909315953,7.699519025123498,-15.158952091152642
0.04,-22.918576473876083,37.84510851849017,-42.62828816963604,-8.22477861668941,7.481103112552024,-15.851712073230479
0.06,-25.651899300155492,38.83493532918612,-42.71944790046658,-8.537631177126277,7.251840401078468,-16.531669308466682
0.08,-24.79789930015545,32.06393532918611,-40.76744790046658,-8.83853515651827,7.011789865766972,-17.19598981144562
0.1,-20.771899300155496,31.02693532918613,-41.98744790046658,-9.126033066833536,6.761020972577772,-17.841844881430625
0.12,-10.889899300155548,31.33193532918611,-40.03544790046658,-9.398690651452435,6.499614561619745,-18.466425554935796
0.14,-11.194899300155498,35.235935329186134,-40.03544790046658,-9.655105228368626,6.227663886099293,-19.066957217856615
0.16,-22.845899300155452,30.59993532918611,-47.35544790046657,-9.893914044322749,5.945275801464885,-19.64071429670949
0.18,-24.431899300155465,27.97693532918612,-45.83044790046657,-10.113802591328652,5.6525720975316815,-20.185034942763018
0.2,-22.418899300155545,27.671935329186113,-44.183447900466575,-10.313512833100212,5.34969096450194,-20.697335617197673
0.22,-16.318899300155522,28.64793532918611,-42.963447900466576,-10.49185128505639,5.03678858188053,-21.17512548077059
0.24,-15.685614284214967,30.33625456404264,-47.94982515870248,-10.647696889892524,4.714040816803857,-21.616020488132442
0.26,-21.608685912983546,32.348159898218576,-52.12800870183324,-10.780008630786083,4.3816450150848345,-22.017757084505085
0.28,-22.906899300155487,27.48893532918612,-50.95444790046656,-10.887832824335415,4.039821864989597,-22.378205400530046
0.3,-20.527899300155468,20.83993532918612,-52.784447900466574,-10.970310034439274,3.688817311272053,-22.695381840296246
0.32,-20.95489930015549,15.166935329186117,-50.52744790046657,-11.026681547349297,3.3289044953556637,-22.9674609587933
0.34,-27.542899300155455,29.62393532918611,-48.33144790046657,-11.056295348249108,2.9603856956108245,-23.19278652854185
0.36,-27.471453840070208,29.13835153881441,-63.10969226365972,-11.058611541276,2.5835942379933385,-23.369881700250996
0.38,-31.629899300155444,29.13593532918611,-53.15044790046656,-11.033207157876866,2.1988963419473544,-23.497458168334948
0.4,-25.529899300155535,29.562935329186132,-66.32644790046658,-10.979780303207198,1.8066928615067255,-23.574424259149744
0.42,-18.941899300155455,30.660935329186117,-50.03944790046657,-10.898153597423827,1.4074208792170415,-23.599891868837183
0.44,-21.503899300155467,16.447935329186123,-51.564447900466575,-10.788276877671544,1.001555111354838,-23.573182189258834
0.46,-20.95489930015549,18.88793532918612,-53.39444790046656,-10.650229135634905,0.5896090857314347,-23.493830173845044
0.48,-11.133899300155463,33.832935329186114,-65.65544790046658,-10.484219672963313,0.17213605630293483,-23.361587708466317
0.5,-19.063899300155526,32.55193532918611,-52.96744790046657,-10.290588461972433,-0.250270379467195,-23.176425464563508
0.52,-26.566899300155455,21.815935329186118,-46.92844790046658,-10.069805702031543,-0.6769759935808928,-22.93853342346638
0.54,-24.126899300155515,27.671935329186113,-51.50344790046657,-9.822470563673079,-1.1073060015685003,-22.648320073314604
0.56,-20.527899300155468,19.86393532918612,-54.675447900466565,-9.54930911405394,-1.540545523347999,-22.306410292864516
0.58,-23.638899300155458,26.75693532918612,-53.699447900466566,-9.251171420647566,-1.9759404498775588,-21.91364194811037
0.6,-25.590899300155456,25.414935329186108,-51.25944790046657,-8.929027835594841,-2.412698728102302,-21.471061237650126
0.62,-24.126899300155515,21.26693532918611,-45.647447900466574,-8.583964470211901,-2.849992070978822,-20.97991683227275
0.64,-24.79789930015545,18.88793532918612,-43.26844790046658,-8.217177876914516,-3.286958093792162,-20.441652864146796
0.66,-22.418899300155545,22.791935329186117,-47.782447900466565,-7.8299689642259915,-3.722702872114156,-19.857900830500782
0.68,-21.961365297925077,24.27790076954297,-44.60922382019893,-7.423736179675578,-4.156303910923325,-19.23047048448126
0.7000000000000001,-17.477899300155514,22.547935329186117,-44.915447900466575,-6.99996800486185,-4.586813509007152,-18.561339791533793
0.72,-19.67389930015554,14.800935329186132,-41.49944790046658,-6.560234816035792,-5.013262497454851,-17.852644033886698
0.74,-13.709602452018013,15.55202186213741,-39.625611797314704,-6.106180171587807,-5.434664325269709,-17.10666414936912
0.76,-8.040278127348056,14.413124742782392,-43.29671619314949,-5.63951159432284,-5.850019459258989,-16.32581439397937
0.78,-12.768117727761428,14.971001853554657,-39.485493080117905,-5.161990920995412,-6.258320060610987,-15.512629419961701
