peak_index,time_s,amplitude,prominence
177,3.54,3.042767070673744,7.3051482296076085
406,8.120000000000001,5.783242818466421,13.484620363430631
706,14.12,4.655427230435292,11.684888447585784
963,19.26,5.940043219376975,15.233724030100227
1255,25.1,7.760160767166127,14.715693357306613
1509,30.18,5.228205885525798,10.969654688420537
1742,34.84,6.166014218418909,12.968494380892112
2055,41.1,7.758703086381356,14.618113837877367
2281,45.62,2.7277962904151654,2.4336534159542866
