time_s,time[us],acc_x[mg],acc_y[mg],acc_z[mg],acc_x_centered,acc_y_centered,acc_z_centered
0.0,203631013,-950.868,-169.092,249.368,-17.53889930015555,33.77193532918611,-41.49944790046658
0.005974,203636987,-950.868,-169.092,249.368,-17.53889930015555,33.77193532918611,-41.49944790046658
0.007692,203638705,-952.332,-168.604,248.575,-19.00289930015549,34.259935329186106,-42.292447900466584
0.015888,203646901,-952.332,-168.604,248.575,-19.00289930015549,34.259935329186106,-42.292447900466584
0.024501,203655514,-957.212,-169.519,248.331,-23.882899300155486,33.344935329186114,-42.536447900466584
0.025799,203656812,-957.212,-169.519,248.331,-23.882899300155486,33.344935329186114,-42.536447900466584
0.035749,203666762,-957.212,-169.519,248.331,-23.882899300155486,33.344935329186114,-42.536447900466584
0.041396,203672409,-955.931,-163.541,248.209,-22.601899300155537,39.32293532918612,-42.65844790046657
0.045666,203676679,-955.931,-163.541,248.209,-22.601899300155537,39.32293532918612,-42.65844790046657
0.055612,203686625,-955.931,-163.541,248.209,-22.601899300155537,39.32293532918612,-42.65844790046657
0.058154,203689167,-958.981,-164.029,248.148,-25.651899300155492,38.83493532918612,-42.71944790046658
0.065533,203696546,-958.981,-164.029,248.148,-25.651899300155492,38.83493532918612,-42.71944790046658
0.075072,203706085,-958.127,-170.8,250.1,-24.79789930015545,32.06393532918611,-40.76744790046658
0.075422,203706435,-958.127,-170.8,250.1,-24.79789930015545,32.06393532918611,-40.76744790046658
0.085253,203716266,-958.127,-170.8,250.1,-24.79789930015545,32.06393532918611,-40.76744790046658
0.091828,203722841,-954.101,-171.837,248.88,-20.771899300155496,31.02693532918613,-41.98744790046658
0.095175,203726188,-954.101,-171.837,248.88,-20.771899300155496,31.02693532918613,-41.98744790046658
0.105116,203736129,-954.101,-171.837,248.88,-20.771899300155496,31.02693532918613,-41.98744790046658
0.108722,203739735,-944.219,-171.532,250.832,-10.889899300155548,31.33193532918611,-40.03544790046658
0.115027,203746040,-944.219,-171.532,250.832,-10.889899300155548,31.33193532918611,-40.03544790046658
0.124982,203755995,-944.219,-171.532,250.832,-10.889899300155548,31.33193532918611,-40.03544790046658
0.125473,203756486,-944.524,-167.628,250.832,-11.194899300155498,35.235935329186134,-40.03544790046658
0.134884,203765897,-944.524,-167.628,250.832,-11.194899300155498,35.235935329186134,-40.03544790046658
0.142259,203773272,-944.524,-167.628,250.832,-11.194899300155498,35.235935329186134,-40.03544790046658
0.142442,203773455,-953.247,-169.092,248.88,-19.917899300155455,33.77193532918611,-41.98744790046658
0.144787,203775800,-953.247,-169.092,248.88,-19.917899300155455,33.77193532918611,-41.98744790046658
0.154608,203785621,-953.247,-169.092,248.88,-19.917899300155455,33.77193532918611,-41.98744790046658
0.159153,203790166,-956.175,-172.264,243.512,-22.845899300155452,30.59993532918611,-47.35544790046657
0.164516,203795529,-956.175,-172.264,243.512,-22.845899300155452,30.59993532918611,-47.35544790046657
0.174473,203805486,-956.175,-172.264,243.512,-22.845899300155452,30.59993532918611,-47.35544790046657
0.176045,203807058,-957.761,-174.887,245.037,-24.431899300155465,27.97693532918612,-45.83044790046657
0.184381,203815394,-957.761,-174.887,245.037,-24.431899300155465,27.97693532918612,-45.83044790046657
0.192854,203823867,-955.748,-175.192,246.684,-22.418899300155545,27.671935329186113,-44.183447900466575
0.194285,203825298,-955.748,-175.192,246.684,-22.418899300155545,27.671935329186113,-44.183447900466575
0.204231,203835244,-955.748,-175.192,246.684,-22.418899300155545,27.671935329186113,-44.183447900466575
0.209592,203840605,-949.648,-174.216,247.904,-16.318899300155522,28.64793532918611,-42.963447900466576
0.214136,203845149,-949.648,-174.216,247.904,-16.318899300155522,28.64793532918611,-42.963447900466576
0.224074,203855087,-949.648,-174.216,247.904,-16.318899300155522,28.64793532918611,-42.963447900466576
0.22648,203857493,-945.073,-174.399,246.501,-11.743899300155476,28.46493532918612,-44.36644790046657
0.233858,203864871,-945.073,-174.399,246.501,-11.743899300155476,28.46493532918612,-44.36644790046657
0.243268,203874281,-951.112,-171.532,241.011,-17.782899300155464,31.33193532918611,-49.85644790046658
0.243889,203874902,-951.112,-171.532,241.011,-17.782899300155464,31.33193532918611,-49.85644790046658
0.25369,203884703,-951.112,-171.532,241.011,-17.782899300155464,31.33193532918611,-49.85644790046658
0.260129,203891142,-955.016,-170.495,238.693,-21.68689930015546,32.368935329186115,-52.17444790046656
0.263594,203894607,-955.016,-170.495,238.693,-21.68689930015546,32.368935329186115,-52.17444790046656
0.273538,203904551,-955.016,-170.495,238.693,-21.68689930015546,32.368935329186115,-52.17444790046656
0.276886,203907899,-955.016,-170.495,238.693,-21.68689930015546,32.368935329186115,-52.17444790046656
0.277069,203908082,-956.236,-175.375,239.913,-22.906899300155487,27.48893532918612,-50.95444790046656
0.283497,203914510,-956.236,-175.375,239.913,-22.906899300155487,27.48893532918612,-50.95444790046656
0.293317,203924330,-956.236,-175.375,239.913,-22.906899300155487,27.48893532918612,-50.95444790046656
0.293809,203924822,-953.857,-182.024,238.083,-20.527899300155468,20.83993532918612,-52.784447900466574
