peak_index,time_s,amplitude,prominence
177,3.54,3.0427670706740795,7.305148229607677
406,8.120000000000001,5.78324281846699,13.484620363431297
706,14.120000000000001,4.655427230435377,11.684888447586278
963,19.26,5.940043219376526,15.233724030099186
1255,25.1,7.760160767165516,14.715693357305812
1509,30.18,5.2282058855267275,10.969654688421482
1742,34.84,6.166014218418481,12.968494380892482
2055,41.1,7.758703086380813,14.618113837876237
2281,45.62,2.7277962904154633,2.4336534159545744
