seconds,data
0.0,0.3057499999999999
0.044,0.3247500000000001
0.077,0.32525
0.121,0.31375
0.151,0.3062499999999999
0.203,0.3229999999999999
0.231,0.3037499999999999
0.275,0.3165
0.321,0.3319999999999999
0.351,0.3115
0.405,0.3412499999999999
0.438,0.322
0.483,0.3327500000000001
0.531,0.3629999999999999
0.56,0.3554999999999999
0.597,0.3749999999999999
0.66,0.3745
0.677,0.443
0.728,0.4142499999999999
0.755,0.4549999999999999
0.814,0.4610000000000001
0.834,0.4575000000000001
0.876,0.445
0.921,0.3967499999999999
0.954,0.4567499999999999
1.004,0.4337499999999999
1.034,0.5080000000000001
1.077,0.4877499999999999
1.121,0.5502499999999999
1.161,0.7364999999999999
1.196,0.4399999999999999
1.26,0.0379999999999999
1.276,0.26225
1.325,0.608
1.375,0.8615
1.393,0.6150000000000001
1.441,0.4277499999999999
1.48,0.5082500000000001
1.523,0.707
1.569,0.8367499999999999
1.595,0.073
1.639,0.02075
1.676,0.412
1.717,1.0005000000000002
1.76,0.7680000000000001
1.794,0.2557499999999999
1.836,0.2684999999999999
1.882,0.5115000000000001
1.933,0.5542499999999999
1.968,0.5340000000000001
1.999,0.4789999999999998
2.035,0.388
2.094,0.3604999999999999
2.114,0.3717499999999999
2.16,0.3825
2.198,0.3277499999999999
2.247,0.42525
2.277,0.3814999999999999
2.318,0.37175
2.368,0.4107499999999998
2.395,0.4559999999999999
2.438,0.5467499999999998
2.483,0.4642499999999999
2.518,0.48625
2.565,0.4857500000000001
2.597,0.5015
2.64,0.4945
2.697,0.5099999999999999
2.715,0.5497500000000001
2.758,0.57025
2.794,0.5835000000000001
2.847,0.5669999999999998
2.886,0.5504999999999999
2.917,0.57775
2.961,0.639
3.0,0.4479999999999999
3.038,0.5557500000000001
3.088,0.6817500000000001
3.116,0.6385000000000002
3.159,0.5747500000000001
3.201,0.6635000000000002
3.242,0.6027499999999999
3.292,0.69825
3.316,0.5927500000000001
3.366,0.1945000000000001
3.418,0.7204999999999999
3.434,0.88975
3.49,0.481
3.518,0.5162499999999999
3.557,0.66425
3.611,0.94575
3.637,0.8165
3.676,0.884
3.718,0.85325
3.765,0.8490000000000001
3.795,1.0285
3.84,0.4024999999999999
3.888,0.266
3.918,0.51625
3.957,1.1077500000000002
4.02,0.79325
4.047,0.023
4.077,0.20025
4.14,0.5447500000000001
4.155,0.5942500000000001
4.208,0.5117499999999999
4.236,0.3852500000000001
4.286,0.3145
4.317,0.391
4.37,0.3515
4.4,0.40225
4.436,0.4155
4.487,0.30725
4.518,0.383
4.562,0.4494999999999999
4.607,0.4109999999999999
4.642,0.47425
4.676,0.5297499999999999
4.739,0.46775
4.76,0.4962500000000001
4.776,0.5060000000000001
4.794,0.55275
4.834,0.55025
4.886,0.5935000000000001
4.925,0.5825
4.958,0.56625
5.004,0.5952500000000001
5.046,0.54175
5.075,0.4584999999999999
5.119,0.67825
5.155,0.58425
5.199,0.5784999999999999
5.239,0.5814999999999999
5.273,0.6387500000000002
5.326,0.66275
5.356,0.635
5.396,0.6500000000000001
5.448,0.7075
5.481,0.64425
5.527,0.6895
5.555,0.7385
5.606,0.83475
5.641,0.21975
5.673,0.5917499999999999
5.716,0.8862500000000001
5.756,0.5787500000000001
5.807,0.63425
5.835,0.8055000000000001
5.887,0.7500000000000002
5.923,0.8512500000000001
5.96,0.846
6.002,1.0315
6.048,1.0815
6.075,0.6715
6.121,0.80175
6.183,0.8315
6.2,0.7615000000000001
6.233,0.571
6.273,0.5522499999999999
6.328,0.6525
6.355,0.62375
6.394,0.321
6.439,0.25825
6.478,0.3444999999999999
6.525,0.812
6.556,1.078
6.608,0.45925
6.645,0.4285
6.678,0.78225
6.716,0.9975
6.778,0.8755000000000002
6.798,0.6139999999999999
6.837,0.4305
6.881,0.4519999999999999
6.921,0.4974999999999999
6.967,0.4104999999999998
7.0,0.3027499999999999
7.034,0.2754999999999999
7.075,0.3265
7.12,0.242
7.165,0.31675
7.194,0.3904999999999999
7.238,0.347
7.284,0.34425
7.317,0.3915000000000002
7.379,0.4235
7.393,0.4239999999999999
7.446,0.4257499999999999
7.497,0.4652499999999999
7.514,0.4374999999999999
7.561,0.43725
7.594,0.4582500000000001
7.645,0.4724999999999999
7.679,0.4440000000000002
7.728,0.4524999999999999
7.757,0.4725
7.793,0.4662499999999999
7.839,0.4942499999999998
7.874,0.4932500000000001
7.929,0.49975
7.964,0.5387500000000001
7.995,0.5632500000000001
8.035,0.4679999999999999
8.096,0.4924999999999999
8.114,0.5845
8.16,0.5155
8.22,0.6097499999999999
8.235,0.5367500000000001
8.289,0.5934999999999999
8.315,0.66025
8.367,0.6299999999999999
8.394,0.659
8.446,0.6492499999999999
8.488,0.6245
8.515,0.6479999999999999
8.557,0.6952499999999999
8.604,0.6632500000000001
8.634,0.6924999999999999
8.686,0.6695
8.717,0.6637500000000001
8.765,0.64625
8.809,0.654
8.834,0.6957499999999999
8.889,0.74925
8.917,0.86775
8.959,0.3275
9.009,0.596
9.051,0.948
9.073,0.5632499999999999
9.115,0.6239999999999999
9.16,0.7080000000000001
9.202,0.6940000000000001
9.234,0.7955000000000001
9.286,1.0005
9.316,0.891
9.356,0.706
9.415,0.59375
9.453,0.7005
9.472,0.72175
9.536,0.5987500000000001
9.556,0.5587500000000001
9.61,0.573
9.638,0.5165000000000001
9.675,0.58125
9.72,0.6465000000000001
9.753,0.5725
9.804,0.7134999999999999
9.836,0.5530000000000002
9.888,0.5797499999999999
9.917,0.6255000000000002
9.959,0.5497500000000002
10.005,0.52275
10.048,0.541
10.076,0.4582499999999999
10.134,0.4727499999999999
10.155,0.511
10.21,0.5102500000000001
10.244,0.4482499999999999
10.279,0.4597500000000001
10.32,0.5042499999999999
10.358,0.4757500000000001
10.405,0.39325
10.437,0.3607499999999998
10.45,0.3537499999999999
10.475,0.3890000000000001
10.519,0.4602499999999999
10.554,0.48675
10.614,0.95
10.642,0.56125
10.677,0.141
