seconds,data
0.0,0.3007499999999999
0.043,0.3229999999999999
0.088,0.3154999999999999
0.114,0.3342499999999999
0.161,0.3249999999999999
0.203,0.30225
0.243,0.295
0.285,0.3440000000000001
0.316,0.3059999999999999
0.357,0.3199999999999999
0.399,0.3197500000000001
0.444,0.3085
0.488,0.31575
0.517,0.3339999999999999
0.563,0.3325
0.601,0.3127500000000001
0.643,0.3622499999999999
0.695,0.35175
0.72,0.3442499999999999
0.758,0.33825
0.824,0.358
0.838,0.357
0.893,0.3347499999999999
0.925,0.33575
0.96,0.3355
1.006,0.32775
1.046,0.3665
1.077,0.35675
1.114,0.32225
1.17,0.3205000000000001
1.201,0.3362499999999999
1.242,0.3429999999999999
1.283,0.37875
1.323,0.4035000000000001
1.366,0.4072500000000001
1.422,0.4255
1.438,0.38975
1.486,0.3754999999999999
1.551,0.37525
1.569,0.4102499999999999
1.599,0.372
1.637,0.39525
1.689,0.4315
1.717,0.446
1.769,0.4537500000000001
1.809,0.4610000000000001
1.841,0.33275
1.88,0.4085000000000001
1.927,0.4257499999999998
1.96,0.4555
2.007,0.447
2.049,0.4039999999999999
2.079,0.403
2.142,0.46775
2.157,0.473
2.211,0.4357499999999999
2.238,0.4632499999999998
2.28,0.4997499999999999
2.328,0.4744999999999999
2.357,0.4892499999999999
2.41,0.5032500000000001
2.436,0.509
2.482,0.5115000000000001
2.53,0.504
2.56,0.51325
2.602,0.532
2.642,0.52125
2.692,0.4922499999999999
2.731,0.48125
2.758,0.51475
2.805,0.5255000000000001
2.869,0.5425
2.884,0.5372500000000001
2.924,0.4884999999999999
2.956,0.50325
3.006,0.525
3.038,0.52
3.079,0.5270000000000001
3.133,0.5354999999999999
3.164,0.4992500000000001
3.194,0.48375
3.24,0.50625
3.276,0.51925
3.321,0.45275
3.36,0.4375000000000001
3.408,0.4704999999999999
3.46,0.5050000000000001
3.48,0.46225
3.522,0.4409999999999999
3.58,0.4545
3.595,0.4797499999999999
3.644,0.4527499999999999
3.681,0.4647500000000001
3.726,0.48875
3.756,0.4275
3.811,0.4484999999999999
3.835,0.4172499999999999
3.886,0.439
3.92,0.4447500000000001
3.964,0.4305000000000001
4.012,0.3692499999999999
4.043,0.3787499999999999
4.078,0.40325
4.122,0.3744999999999999
4.177,0.3784999999999999
4.196,0.4152500000000001
4.247,0.3979999999999998
4.278,0.39125
4.327,0.3809999999999999
4.37,0.3665
4.397,0.3862500000000001
4.439,0.387
4.451,0.4045000000000001
4.481,0.3857499999999999
4.521,0.3617499999999999
4.568,0.3704999999999999
4.596,0.35675
4.646,0.3562499999999999
4.676,0.372
4.731,0.3362499999999999
4.771,0.40025
4.796,0.3575
4.849,0.3772499999999998
4.893,0.329
